,총점,커리어 향상,업무와 삶의 균형,급여 및 복지,사내 문화,경영진,제목,직원유형,장점,단점
667,1.0,1,1,1,1,1,“직원들 상대로 여론조작하는 회사”,현직원 · 빡***** · 연구개발(R&D) - 2021.06.20,"아직까지 밖에서 현대라하면 열공하셨네요 해줌
30자 채우라고하네
노래라도 불러야하나","임원만 연봉 올라가고 직원은 내려감
임원만 복지혜택 증가되고 직원은 축소됨
회사내에 직원들 사상검증하고 사상교육하는 부서 존재
외식업계에서 임원으로 옴"
668,1.0,1,1,1,1,1,“10년동안 연봉이 하락”,현직원 · l********* · 하드웨어 엔지니어 - 2021.06.19,"내 인생을 되돌아 볼 수 있음
친구들 만나면 얻어먹기 가능",회사가 직원을 점점 퇴화시킨 후 벗어날 수 없도록 만듬
669,1.0,1,1,1,1,1,“직원은 개만도 못한 부속품”,현직원 · 현****** · 생산엔지니어·생산관리 - 2021.06.10,"장점을 찾아보기가 정말 어려움
그나마 52시간 적용된 후 퇴근시간이 그나마 좀 당겨졌다는거","광팔이 천지
낮은 급여
직원복지 어떻게든 원가절감하려는 목표
직원은 부속품이라는 마인드
갓술직이 왕인 사무직은 노예"
670,1.0,1,1,1,1,1,“과대포장된 껍데기 회사”,현직원 · :********* · 품질관리·보증 전문가 - 2021.06.09,"번지르르한 이름값만 존재하고

현실을 모르는 남들이 부러워하는 거짓 허상의 모습","커리어의 무덤

성취감 제로
개인성장 제로
시간낭비 업무
개선의지 제로"
671,1.0,1,1,1,1,1,“부조리가 가득한 화사”,현직원 · i******* · 연구개발(R&D) - 2021.04.28,"좋아하는 자동차 관련해서 일할 수 있음
포기하면 나름의 워라밸도 나올수도 있음","고인물이 대부분이라 곪다가 문드러진 문제가 개많음
나이많은 사람들의 기득권 때문에 사소한 것부터 큰부분까지 산으로 가는중"
672,1.0,1,2,1,1,1,"“커리어 육성 따윈 없는 꼰대문화,워라밸밖에 좋은점이 없는 회사”",현직원 · i********* · 경영전략·사업기획·분석전문가 - 2021.04.27,"없음 원하면 현무원으로 살수잇음
군대문화 및 장유유서의 사상을 뿌리깊게 가진 조선 선비사상을 가진 이에게는 아주 적합한 기업문화","낡은 꼰대문화
보수적인 군대식 수직적 조직문화
제너럴리스트만을 양성하는 80년대식 인재육성 시스템
광팔이만 살아남는 일하는 방식
이해할수 없는 공무원사회같은 요식행위 비스무리한 내부절차
조직간 깊은 사일로
낡고 낡은 사고방식의 답없는 보직자 임원들
낮은 급여 불공평한 연공서열식 평가 등등"
673,1.0,1,1,2,1,1,“일 토스는 기본. 커리어 망하는 건 한순간. ”,현직원 · N***** · 연구개발(R&D) - 2021.04.07,"연봉이 나쁘지 않은 편
여성조합원에겐 제일 혜택이 많음","부서별 개인별 이기주의
무조건 일 토스하는 사람 많음
다른 팀 잘못만 찾아다니는 놈들 많음
프로세스가 엉망인데 좋다 생각함
임원의 독재가 미친듯 심함
팀장 조직문화 관심없음
회사에 자율이란게 없음
성과급 매년 깍임
비조합원인 책임급은 차별 많음
직원을 일단 믿지 않음
여성은 더 믿지 않는 문화
동기끼리 이슈도 눈감아주는 문화"
674,1.0,1,5,1,1,1,“커리어의 종착지 그자체”,현직원 · 만** · 연구개발(R&D) - 2021.04.04,한달에 한번씩 눈치 안보고 쓸 수 있는 월차와 연차 식목일 휴무 등 쉬는 날이 많음,군대문화가 뿌리박혀 절대 바뀌지 않음 반말 비속어 등은 기본으로 생각해야함
675,1.0,1,5,1,3,1,“걍 옛날회사”,현직원 · S**** · 연구개발(R&D) - 2021.03.23,"워라벨 솔직히 오집니다
출퇴근 자율에 복장이나 출장 등","밑도끝도없이 우기고
윗사람 보고할때 거짓말해서 밑에사람들 고생함
마인드가 걍 옛날회사


워라벨 부분에선 선진회사"
676,1.0,1,2,1,1,1,“워라벨 외에는 노답인 회사”,현직원 · m****** · 연구개발(R&D) - 2021.03.18,"업계 갑의 위치를 이용한 편리한 개발구조
뭐 좀 해본다고 하면 말리지 않고 해볼 수는 있음","시스템 부재 아무런 매뉴얼이나 원칙이 없음
임원들은 무능을 떠나 배임 수준
오너가 자동차산업을 모르고 엉뚱한데 돈쓰고 있으나 최근 언행과 행동에 따라 직원들의 신망을 잃어가는중"
677,1.0,1,5,3,1,1,“워라밸 극강 연봉 나쁘지 않음 미래 없음”,현직원 · /******** · 연구개발(R&D) - 2021.02.24,"워라밸 좋음
연봉 일하는거 치고 많이 줌
나름 자율적","미래가 없음
커리어의 끝
전형적인 제조업
아이티 회사가 되고자 하나 절대 불가능"
678,1.0,1,1,1,1,1,“입사와동시에 임금피크제 시작하는회사”,현직원 · 1******* · 경영지원·관리 전문가 - 2021.02.24,"입사초 이름값뿐
예전의 영광
아직은 어른들은 현대라는 이름을좋아라하심","입사와동시에 임금피크제
7년간 임금 동결수준에
어떻게든 원가절감에 목매는회사
그냥 외국인과 조합만 신경쓰는회사"
679,1.0,1,1,1,1,1,“성과급을 안 주려다 보니 워라밸이 좋아진 회사”,현직원 · i********* · 연구개발(R&D) - 2021.02.17,직원을 통제하지 않으므로 자유로운 회사 생활이 가능함,풀은 알아서 뜯어 먹는거고 그 것도 패거리에 들어가야 함 건초 따위는 절대로 제공하지 않음
680,1.0,1,1,1,1,1,“워라밸이 보장되는 회사”,현직원 · l********* · 경영지원·관리 전문가 - 2021.02.16,"1 마음 편하게 다니기 좋음
2 진급은 연공서열순
3 마스크 잘 챙겨줌","1 출퇴근 시간 너무 오래 걸림
2 밥이 별로고 개선의지 없음
3 연봉이 별로고 노조도 개선의지 없음"
681,1.0,1,1,1,1,1,“빛 좋은 개살구”,전직원 · i***** · 경영지원·관리 전문가 - 2021.02.09,"공무원 문화
진급 거부 시 만년 사원대리으로현 매니저 직급
월급 루팡 태업 가능

단 당신이 이 루팡의 피해를 받는 쪽이라면 ","1 월급 루팡인 갓술직 일반직 루팡들 등 그들을 통제하거나 저성과자를 제도권으로 끌어올릴 수 있는 회사의 권력 부재로 모럴 해저드 만연

2 구성원을 노예로만 보는 회사의 인사 노무 정책과 진실되지 못한 태도

3 기형적인 급여로 기본급이 매우 낮고 매니저급 시급 대략 9천원 대 성과급으로 보조하는 회사였으나 작년 시준 성과급 최저 기본급 동결 등으로 실질적 급여 하락

4 구성원은 임금 하락 경영진은 임금 상승

5 그놈의 죽음의 계곡과 같은 위기와 공포 조장
그리고 이를 통해 구성원을 움직이게 하려는 구시대적 경영 방식

6 너무 많다 정말"
682,1.0,1,1,1,1,1,“날마다 탈출은 곧 지능순이라고 일깨워주는 회사”,현직원 · 1********* · 연구개발(R&D) - 2021.02.05,주 40시간 채우기가 생각보다 어렵구나 라고 생각이 들게하는 근무강도,"남양연구소 기준으로 극악의 근무 위치
눈 오면 편도 2시간30분 이상 소요

등기임원들만 연봉이 오르고 임직원은 매년 최저기록을 갱신 하는 중"
683,1.0,1,1,1,1,1,“있는 정 없는 정 따 떨어지는 회사”,현직원 · K***** · 연구개발(R&D) - 2021.02.04,"1 남양기준 70정도의 부서는 주 평균 근무시간 4145시간으로 대기업치고 나쁘지 않은 워라벨
2 아직까진 정년은 보장해주는 분위기이것도 10년뒤 어떻게 될지 모름","1 정년보장때문에 50대 일안하는 월급루팡 꼰대가 많다
2 매년 연봉이 줄어든다 진짜 심각하다
3 근무 강도가 매우 높다 여기저기 끌려다닌다개발 설계 시험은 을 중에 을
4 복지포인트몰에서 살게 없다
5 출퇴근 시간 사당에서 편도 1시간 25분걸린다
6 교육과 발전의 기회가 전혀 없다 알아서 공부하라는 분위기  자격증 시험 도서 지원비 일절 없음
7 2020부터 책임급 고과 체계가 바뀌어서 연봉 상승률도 엄청 낮아졌다
8 연구직은 호봉제라 2015년대비 상승이 없다
등등"
684,1.0,1,1,2,1,1,“아직도 90년대 마인드로 살아가는 회사”,현직원 · l******** · 연구개발(R&D) - 2021.02.03,"윗사람이 댕청해서 놀아도 괜찮다
시급은 높은 편이다급여는 작으나 일도 안함
돈 많이 주는 공무원이라 생각하면 편안","남양이면 출퇴근 교통 개구리다
밥이 진짜 군대짬빱급이다
고과는 짬순 성과금은 성과랑 무관 하락만 함
라떼는 외치는 꼰머들이 보직 내려와도 정년까지 꿀빤다
월급루팡이 너무 많아서 일하는 내가 자괴감이 든다"
685,1.0,1,3,1,2,1,“주식같네요. 고점에 물렸다가(2012~2014년도) 폭락한 현재도 다니고 있습니다..”,현직원 · i******** · 연구개발(R&D) - 2021.01.29,"1 칼출 칼퇴
2 1번 이외의 장점이 뭔지 모르겠음","1 갈수록 떨어지는 임금
 심지어 항상 파업하는 이미지본사와 언론의 콜라보때문에 외부인들은 연봉이 매년 오른다고 착각함 하지만 현실은 매년 추락중
2 열심히 하는사람은 손해보고 대충하는 사람은 이득을 보는 모든인원이 공평한공산국가 고과 및 진급
3 들어본적도 없는 남양읍이란 촌동네에 박혀있는 근무지하루 출퇴근에 소요되는 시간  23시간
4 본질적인 고민이 아닌그럴꺼면 연구소는 왜 있는거지 주먹구구식 일처리  그것을 잘하는 사람이 일을 잘한다는 소릴 듣는 회사"
686,1.0,1,3,1,1,1,“침몰하고 있는 회사”,현직원 · r***** · 연구개발(R&D) - 2021.01.13,"워라벨은 나쁘지 않으나 그 시간을 출퇴근에 다 씀
왕복3시간4시간
차량 할인
것두 경력 무지되어 그때부터 살만함","조직문화 최악
꼰대 마인드 및 자기 앞길만 생각하는 보직자와 경영진
실적과 무관한 연봉
연봉은 떨어지는데두 매년 욕먹게 만드는 언플"
687,1.0,1,1,1,1,1,“4차산업에서 도태될 회사”,현직원 · 조*** · 연구개발(R&D) - 2021.01.04,"어른들이 좋아하는거
점심 저녁 공짜인거
노조있는거","1 사내 대출이 없다 이렇게 큰 대기업에 사내대출이 없다는게 말이되나
2 직원 연봉은 다깎고 임원진만 연봉 올리는전형적인 중소기업의 행태
3 직원들의 불만을 듣지도않고 덮어버리는 놀라운수준의 회사 인사시스템 결함 덮어버리는 흉기차 라는 별명은 사내에서도 통한다"
688,1.0,1,1,1,1,1,“일 안하면 천국 일하면 지옥”,현직원 · 흑********* · IT 엔지니어 - 2020.12.30,"일 안하면 문제가 안생기니 최고
남은 시간에 특허 쓰고 수당받고 고과도 챙기고
여유시간에 재테크해서 돈도 벌고 정말 좋음","일하면 저런 분들이 일 다 집어던지고
일에 치여 실수라도 하면 징계 때리고
여기저기 아쉬운소리 해대면서 성격 더러워지고
커뮤니케이션이랑 인성문제 있다고 고과 까이고
일 많아서 허덕이는데 원래 쟤가 하던거라고 또 시키고
하여간 일하면 거지같은 회사는 확실함"
689,1.0,1,2,1,1,1,“엔지니어의 실버타운 겸 무덤”,현직원 · i********* · 연구개발(R&D) - 2020.12.30,"1 비데 수압이 좋음
2 나만 폭탄돌리는게 아니라 죄책감 덜 듬","글로벌 수준으로 무능한 경영진
80년대식 인사 총무 시스템 및 문화
중세시대 같은 충성 및 복종 강요
인권 복지 그딴거 없음
잘되면 킹갓제너럴회장폐하 덕
망하면 임직원 탓
직원을 적대시하고 언론에 돈 뿌리는것으로 대국민 이미지메이킹 및 사기
잡스놀이 한다고 타운홀미팅같은거 하지만 의견 질문 필터링하는 정비어천가"
690,1.0,1,2,1,1,1,“날이 갈수록 안좋아지는 분위기”,현직원 · l******* · 경영전략·사업기획·분석전문가 - 2020.12.30,"미약하게나마 아직은 있는 네임밸류와
워라밸이 장점이지만 부바부",의사결정의 잣대나 운영 방식이 현대사회를 살아가는 일반인과 많이 다름 자율성이나 존중과는 아직도 거리가 먼 문화 현대차의 자랑이던 성과금도 아작남
691,1.0,1,2,1,1,1,“비합리가 정상인 회사”,현직원 · a******** · 해외영업·사업개발·마케팅 - 2020.12.29,성과보다는 성격을 더 중요시하고 윗사람에게 잘 굽실되면 성장가능,꼰대들이 많고 자기들 능력도 없으면서 있는척에 아랫사람 부려먹는대는 최고
692,1.0,1,1,1,1,1,“망조가 든 회사”,현직원 · l********* · 생산엔지니어·생산관리 - 2020.12.25,같이 일하는 비슷한 연령의 동료들 회사의 네임밸류 끝,전체적으로 본사의 무능력  과거의 영광에 사로잡혀 이상한 부심이있음 전체적으로 기술력이 없음 인재존중을 하지않고 연봉은 2000가까이 줄였는데 외부로 돈쓸때는 호구에 가까운 집행현대건설 삼성동부지 보스턴다이나믹스
693,1.0,1,1,1,1,1,“미래가 없는 회사”,현직원 · 으***** · 환경·안전·보건 전문가 - 2020.12.21,"적당한 연봉
적당한 워라밸
노조가 국민을 많이생각함 사측과 생각이 비슷함","니들이 아니라도 들어오고 싶은사람 많다는 마인드
임직원 사기 저하
회사 스스로가 여론몰이로 가치를 낮추기 바쁜 회사"
694,1.0,1,1,1,1,1,“취업사기의 정점”,현직원 · i******** · 품질관리·보증 전문가 - 2020.12.18,"아무생각 없이 일할수 있다
일찍 퇴근하고 연차 맘대로 쓸 수 있다","경영진은 부패했고 무능력해서 미래가 안보인다
외부에서 보는것과 다르게 은근히 박봉이다
성장할 수 없으며 회사에 시스템이란게 없다
사람 갈아넣으며 성과에 따른 보상이 없다"
695,1.0,1,1,1,1,1,“신입들 들어오면 빨리 다른길 가라고 추천중”,현직원 · l******** · 연구개발(R&D) - 2020.12.18,"장점은 별로 없어보인다
왜냐하면 진짜로 없다
연봉 밥 근무지 전부다 최악이다
그냥 중소기업같다","돈이 짜다
출퇴근시 4시간은 기본이다
밥도 최악이다 구린푸드다
경영진마인드도 최악"
696,1.0,1,1,1,1,1,“직장보단 투자에 집중해야 살 수 있는 회사”,현직원 · E***** · 품질관리·보증 전문가 - 2020.12.15,대기업이라는 타이틀 하나만 좋습니다 남들이 보는 시선,대졸 사원으로 입사시 생각보다 적은 보상으로 일 할 의욕마저 없어지는 회사
697,1.0,1,1,1,1,1,“직원 복지에 전혀 관심이 없는 회사”,현직원 · l***** · 경영전략·사업기획·분석전문가 - 2020.12.14,아무일 안해도 안정적 노조문화로 어떤 차별도 없이 같이 갈수있음,갈수록 낮아지는 복지와 임금 수준 회사는 직원의 복지 성장 근무 환경 등 어떤 것에도 절대로 먼저 투자하지 않음 철저한 인건비 절감 관점의 운영 이제는 어떤 성장기회도 심지어 그나마 있던 경제적 안정도 기대할 수 없음
698,1.0,1,1,1,1,1,“일하면 사람취급 못받는 회사”,현직원 · i********* · IT 엔지니어 - 2020.12.14,"일안하고 놀아도 크게 문제없는 회사
연공서열대로 고과주고 능력 없는 사람 진급 챙겨주는 인정 넘치는 회사","일하면 잘한다면서 업무 다 떠넘겨버리고 번아웃당해 조금이라도 실수하면 고과 무자비하게 까버리고 징계날림
일하면 사람취급 못받고 가축 취급받음

참고로 처음 서류 통과 보고 이직까지 6개월 걸림
그 긴 기간동안 알림은 서류통과 면접일정 오퍼 딱 세번
그것도 어떻게 되냐고 닥달해서 받음"
699,1.0,1,1,1,1,1,“끝없이 추락”,현직원 · t***** · 연구개발(R&D) - 2020.12.02,"나 하나쯤 없어도 일 잘돌아감
회사가 변하고 있음 문제는 직원입장에서는 안좋게만 바뀌는중","미래가 안보임
매년 낮아지는 연봉
아닌척하지만 확실한 신분제
기가막히도록 끔찍한 출퇴근환경"
700,1.0,1,1,1,1,1,“오지마 진짜..”,현직원 · !********* · 연구개발(R&D) - 2020.11.30,"들어오면 멍청해지거나 나태해지거나 만성피로 신경과민에 시달리거나 이직함

자기자신의 의지를 확인가능","일한만큼 주지않음
매년 연봉감소 연구직 짜내기
갈라치기 이간질"
701,1.0,1,3,1,1,1,“직원을 전혀 고려하지 않아 망해가는 회사”,현직원 · l******** · 연구개발(R&D) - 2020.11.30,"주 40시간 딱 칼같이 다니기 좋다
하지만 출퇴근 시간 고려한다면 주 52시간 그냥 넘긴다
휴일이 많은 편이다
생각 없이 다니기 좋다","회사가 기본적으로 직원들을 대우해줄 생각이 없다
직원 사기따위 고려하지 않는다
경영진이 매우 부패하여 단기의 숫자에 일희일비한 행태를 보인다
회사 법무팀 마케팅팀 및 여러 영향력 및 미디어채널 등을 통하여 국내 여론몰이를 한다
실수를 인정하지 않고 치부를 가리기에만 급급한 회사
글로벌 대기업을 지향하지만 로컬 중소기업만도 못한 퇴보적인 업무 문화가 있다"
702,1.0,1,1,1,1,1,“미래가 막연한 회사입니다”,현직원 · l******** · 구매·물류·SCM 전문가 - 2020.11.25,노조가있어 강압적 근무는 못하며 인권을 지키며 근무할 수 있습니다,연령대가 높고 기업문화가 딱딱하며아랫사람은 아랫사람이라는 기업문화소통불가일방적코로나에 회식해도 이상한 분위기아님
703,1.0,1,1,1,1,1,“다른 선택이 가능하다면 오면 안됨”,현직원 · l********* · 연구개발(R&D) - 2020.11.20,"대기업이라는 간판을 달고있음
기간산업을 하고 있어서
한국 제조업이 무너지지않는한 계속 지속될 회사
대기업답게 복지제도가 있긴 있음
출퇴근 버스다님연구소
아침밥은 돈내고 점심 저녁밥은 주긴 함","회사가 대기업이라고 연봉이 큰 것은 아니라는걸 알게됨
대기업도 해마다 연봉이 줄어들 수 있다는 것도 깨달음
회사가 지속되어도 직원은 아닐 수 있음
복지가 좋은 것 같은데 타 대기업과 비교안됨 중견기업급
출퇴근 4시간씩은 버스에서 버려야함 허리디스크 걸림
밥은 군대 보급보다도 못 함
임원들이 보고서를 초등학생도 알아볼 수준으로 안써가면 이해를 하지못함"
704,1.0,1,2,1,1,1,“놀고 먹기 좋은 회사”,현직원 · V***** · 연구개발(R&D) - 2020.11.19,"워라벨 보장단 남양연구소 기준 출퇴근 세시간
놀고 먹기 좋음
놀아도 열일해도 상관없이 돈 잘받음
아침 9시마다 주식쟁이들로 변기가 만석이되도 괜찮은 회사","커리어 성장 원하면 필망하는 회사
열심히 일해도 보상 없음 같은 돈 받음
부가가치를 창출하는 팀도 같은 돈 받음
이러니 열심히 일하는 사람만 손해 동기부여가 안됨
커리어 키워서 이직할 회사 없음
남양은 출퇴근 하루 세시간 컷 그마저 버스다보니 책읽거나 하는 행위 불가 오디오 클립 듣거나 자야됨
경영진이 연구직들의 이런 불만을 모름
평가는 일잘하는 순위가 아니라 먼저 온 사람 먼저 올림 아무리 일잘하고 열심히해도 진급 누락가능
이와중에 회사는 절대평가제도 도입했다고 자위중
마치 리틀 코리아를 보는 것 같은 제도와 시스템
전산은 더 최악이라 체감상 윈도 xp시절같음
연봉은 점점 하향하는 중 화폐가치는 떨어지는데 연봉마저 떨어지니 집없는 무주택자 구성원들은 더욱더 상대적 박탈감에 빠져드는중"
705,1.0,1,1,1,1,1,“직원대우안해주는회사”,현직원 · I******** · 경영지원·관리 전문가 - 2020.11.13,"없음
구지 장점을말하자면 차량구매할인인데
차를매번바꾸는것도아니고 별혜택없음","낮은연봉 성과급
직원들사기저하시키는 퇴보하는복지정책"
706,1.0,1,1,1,1,1,“신입 세후 연봉 4000만원”,현직원 · l********* · 연구개발(R&D) - 2020.11.13,"1 버스에서 오래 앉아서 잘 수 있음
2 사내식당이 맛없어서 안먹게됨  체중 감소
3 연구소내 커피빈 할인 30","1 버스 타다가 허리디스크 걸림
2 타회사 음식 메뉴 보고 자괴감을 느낌
3 원천징수가 신입이후 하락 중"
707,1.0,1,2,1,1,1,“하루하루가 새로운 회사”,현직원 · i********* · 연구개발(R&D) - 2020.11.13,"1 월차가 있다내년에 없어질수도
2 조합원만 쉬는 휴일","1 직원을 노예로 알고있음
2 연봉 급 하락 및 직원 사기 바닥
3 무한 리콜로 인한 회사 가치 바닥
4 나갈놈은 나가라 어차피 누군가는 온다라는 마인으로 인재존중은 개나 줘버림"
708,1.0,1,1,1,1,1,“장점이 고민되는 회사”,현직원 · l******** · 연구개발(R&D) - 2020.11.08,"8시 출근시간에 맞춰 7시 20분에 도착하게 만듬
본의아니게 매일 새벽 6시 이전에 일어나게 하는 회사
강제 새벽형 인간이 됨 셔틀놓치면 그냥 노답

웬만한 가정에서 키우는 반려동물보다
한끼 식단가가 적음 즉 개사료보다 못한 점심을 먹으며
그 와중에 맛있다고 게시판에 올리는 사우들을 보면서
그동안 인생에서 먹은 끼니에 대한 고마움을 느끼게 됨","평일에 개사료보다 못한 밥을 먹으며
먹고사는 것의 중요함을 깨닫게 됨

새벽출근인한 만성 수면부족으로 탈모 사우들이 많음
그냥 딱 봐도 국내 어느 회사보다도 탈모인이 많음
셔틀버스에서 하루 34시간을 보내므로
만성 디스크 다들 달고 살고 있음

그냥 입사하면 바보라고 생각하면 됨"
709,1.0,1,1,2,1,1,“게으름 직원과 미래가 없는 회사”,현직원 · ☠*********** · IT 엔지니어 - 2020.11.03,"일 안해도 아무도 뭐라하지 않음
다같이 놀면서도 고과는 연공서열대로 받아감","일하는 사람한테 개떼처럼 달려들어 괴롭힘
일 열심히 하면 일을 더 줌
고과는 일 열심히 하면 낮게 주는 기업문화
열심히 하면 잘난척한다고 정치질 당하는 회사"
710,1.0,1,2,1,1,1,“직원의 현재를 갈아 회사의 현재와 미래를 얻는 회사”,현직원 · l********* · 생산엔지니어·생산관리 - 2020.11.02,워라밸 탄력근무제 적용돼서 꿀 부서라면 진짜 업무 적게하고 꿀짤기 가능,"그 외의 모든 것 수직적이고 강업적인 조직문화 자기 일도 막내에게 떠넘김 능력 없이 목소리만 큰 사람이 다 해먹는 회사
직원들의 불만은 쉬쉬하고 덮어두기 바쁜 회사"
711,1.0,1,3,1,2,2,“그냥 갈곳 없어서 다니는 회사”,현직원 · 대** · 연구개발(R&D) - 2020.11.02,"워라밸 생각보다 좋음
이외 특별한 장점은 없음 그냥 평범한 회사","급여가 적음
돈을 어떻게든 안주려고 애씀
출퇴근 버스에서 보내는 시간 하루 평균25시간"
712,1.0,1,1,1,1,1,“직원을 개돼지로 보는 회사”,현직원 · i******** · 연구개발(R&D) - 2020.11.01,상대적 워라벨 장점 있었는데 주 52시간 도입으로 상향평준화에 따라 없어졌다 내부 사정 모르는 외부인들에게는 그럴싸해보이는 회사,자동차 관련해서는 직원개돼지포함 비용절감에 목숨 걸었으며 앞으로 차 팔 생각 없어보인다 자동차도 잘 못하면서 다른것에 미쳐있다
713,1.0,1,1,1,1,1,“열심히할 이유가 사라진 회사”,현직원 · y***** · 생산엔지니어·생산관리 - 2020.10.31,"열심히 안해도 돈을 준다
 워라밸
 워라밸2
 워라밸3","열심히 해도 돈을 안준다
동기부여와 노동의 가치 사라짐"
714,1.0,1,1,1,1,1,“돈 안주려고 기를쓰는 회사”,현직원 · l******* · 생산엔지니어·생산관리 - 2020.10.28,"워라벨은 좋은편
성과압박이 다른회사대비 적음
개선하면서 보람도 있음","회사 어려워보이려고 마음대로 실적비교 내는 만행
흑자나도 적자라 속이고 성과급 안주려고 기를씀
성과급 있어야 대기업연봉 나오는데"
715,1.0,1,1,1,1,1,“비젼이 없는 회사”,현직원 · i********* · IT 엔지니어 - 2020.10.20,"전자레인지 있음
화장실 청소 업체가 해줌
탕비실 커피 카누 맥심 있음","백두혈통같은 파워있는 기술직들 논리란 없다
삼전이 넘사벽이 되어버림
돈을 안줌
출퇴근 4시간"
716,1.0,1,1,1,1,1,“입사 후 1년안에 자괴감 옵니다”,현직원 · i********* · 연구개발(R&D) - 2020.10.19,다 열심히 안하니까 나도 안해도 된다는 안일함 덕분에 워라밸은 좋습니다,더 좋은 곳 갈걸 후회만 밀려옵니다 업군이 특성화되서 다른 곳 이직도 힘드니 애초에 삼성이나 더 연봉 많이 주고 직원 대우 잘해주는 곳으로 가세요
717,1.0,1,3,1,1,1,“수년째 연봉 삭감되고있는 회사”,현직원 · n******** · 연구개발(R&D) - 2020.10.15,요즘들어 자율출퇴근제 하면서 집에는 빨리 갈수 있어졌음,경영진들이 디자인에 입을 많이 댐 디자인 좀 아는 사람들만 입 대면 좋겠음 수년째 연봉삭감 쓸데없는 품질회의 엄청 많음
718,1.0,1,2,1,1,1,“성과를 제대로 보상 안하는 회사”,현직원 · v***** · 해외영업·사업개발·마케팅 - 2020.10.14,직원 복지를 향상하기 위해 노력을 하고 있습니다 유연근무 재택 근무를 실천하고 휴가 사용을 권장합니다,매년 임협 결과에 따라 기준도 없이 성과금을 책정하고 개인의 성과와는 상관없이 일괄로 적용하는 구시대적인 시스템을 유지하고 있습니다 회사에 와서 대충 놀면서 일하는 사람과 코피 쏟으며 늦은 시간까지 일하는 사람들이 동일한 성과금을 받는다는 겁니다
719,1.0,1,2,1,1,1,“보수적이고 성과에 따른 보상이 없는 회사”,현직원 · j**** · IT 기획·매니지먼트 전문가 - 2020.10.13,워라밸은 좋습니다 주 40시간 근무만 하면 칼퇴 가능,꼰대 문화 보수적인 문화 성과에 따른 보상이 없음
720,1.0,1,1,1,1,1,“직원은 소모품이다.”,현직원 · 수**** · 품질관리·보증 전문가 - 2020.10.09,"워라밸이 보장되기는 함 워라밸이 보장되고 또 워라밸은 보장되고 아 워라밸이 보장된다
아 돈받으며 이직준비 할 수 있다 장학금 타며 여유롭게 공부 할 수 있다","밥 맛 없음본사제외
출퇴근 지옥임연구소 기준
공장은 그냥 지옥임각공장 기준

실적과 관계없이 매년 상승하는 경영진 연봉 대비
실적이 상승해도 매년 줄어드는 나의 연봉

허탈과 현타를 느낄 틈도 없이 공격해 들어오는
안티현대 여론비협조적인 부서부서원들

몰려오는 자괴감 패배감 허탈감 우울비아냥 바가지
그외 모든것들

이 회사 직원이 되는 순간 감내해야 할 것들이 너무 많아진다

간디가 히틀러가 될 수 있다

여긴 지옥이다"
721,1.0,1,1,1,1,1,“희생만 강요하는 곳”,현직원 · s********** · 생산엔지니어·생산관리 - 2020.10.07,"쉬는 날이 많음
자동차 할인 가능물론 현대차만
노는 부서가면 한없이 편함 공무원보다도","짠 급여
업무 불평등으로 인한 과중한 업무
공산주의가 왜 망하는지 단적으로 보여주는 곳
임원들은 본인 자리유지만 급급
실무자는 희생만 하다 팽
현장 기술직이 가장 상위 집권"
722,1.0,1,1,1,1,1,“8년째 연봉 삭감 중인 회사”,현직원 · K***** · 연구개발(R&D) - 2020.10.07,지금와서 보면 잘 모르겠다 놀려고 맘 먹으면 한없이 놀 수 있는 회사다,워라밸 좋은척 하지만 회사가 시골 골짜기에 있어서 5시 퇴근해도 집 들어가면 7시반 연봉은 매년 삭감중 꼰대 한가득 엔지니어랍시고 하는 일은 피피티
723,1.0,1,3,1,1,1,“과거의 영광이여”,현직원 · i********* · 경영전략·사업기획·분석전문가 - 2020.10.04,"자부심이 있었음
급여가 많았음
으쌰으쌰 했었음
차 할인","일을 안해도됨
불공정한 인사평가
무능한 임원진
줄어드는 급여"
724,1.0,1,1,1,1,1,“연봉이 5년 연속 줄어드는 회사”,현직원 · u********* · 연구개발(R&D) - 2020.10.01,아침마다 건강에 좋지는 않지만 맛있는 라면 제공으로 해장가능하나 순식간에 체중 증가 및 성인병 3종 세트 획득 가능함,"5년 연속 성과와 무관하게 연봉이 줄어듬 평균고과 A이상

직원은 단순히 소모품일 뿐이며 열정 페이를 강요함

평일 통근버스 탑승시간 34시간 정도로 허리디스크 및 목 디스크 얻을 수 있고 방광염 걸리기 쉬움

광팔이 및 아부 잘 하는 사람과 학벌 라인 정치질이 심해서 핵심라인 쪽 아니면 평사원으로 다니는게 마음이 편함"
725,1.0,1,1,1,1,1,“아무리 기업의 목적은 이윤이라지만”,현직원 · l********* · IT 기획·매니지먼트 전문가 - 2020.10.01,"차가 잘팔리고 모두가 인정하는 글로벌 현대차
전세계에서 좋은 자동차를 만들고 이윤을 남기는게 목적이지만","직원과 함께하지 못하는 성과가 얼마나 지속될지
그 이윤이 얼마나 영원한건지
직원을 사람이 아니라 인재가 아니라
자동차 부품중에 하나로 보는 인식
그게 아니라도 우리는 그렇게 느껴지는 회사"
